user_id,teleplay_id,rating
53698,8353,9.659971
53698,31299,9.051794
53698,7818,8.912165
53698,28347,8.831389
53698,30743,8.831012
53698,5014,8.762111
53698,5447,8.68235
53698,9951,8.670549
53698,2552,8.456317
53698,5994,8.415045
53698,16434,8.388632
53698,18355,8.301718
53698,15227,8.283611
53698,16041,8.27463
53698,7252,8.265671
53698,6630,8.223566
53698,22607,8.170151
53698,22445,8.097208
53698,22455,8.097208
53698,22615,8.097208
53698,22477,8.097208
53698,22479,8.097208
53698,3755,8.025304
53698,20969,8.022153
53698,3866,8.020557
53698,3760,7.9907365
53698,3868,7.965472
53698,6202,7.963203
53698,26311,7.959553
53698,9340,7.9446125
53698,33281,7.9284444
53698,8196,7.9054146
53698,3481,7.884261
53698,7761,7.866824
53698,32422,7.852493
53698,3435,7.8046103
53698,2822,7.800973
53698,727,7.797886
53698,6117,7.791298
53698,20441,7.786984
53698,21037,7.7863107
53698,3989,7.7721786
53698,5535,7.7718806
53698,4126,7.760111
53698,24051,7.758681
53698,32811,7.758681
53698,32788,7.758681
53698,8123,7.753626
53698,4240,7.7450905
53698,7314,7.739847
53698,28257,7.73898
53698,4803,7.7336445
53698,4198,7.7219796
53698,1466,7.7129865
53698,5143,7.712311
53698,3900,7.695918
53698,25915,7.676696
53698,10820,7.6764174
53698,1203,7.6761274
53698,10153,7.6683207
53698,15159,7.6631103
53698,3644,7.6479297
53698,3043,7.6442046
53698,3214,7.631085
53698,820,7.6289825
53698,5096,7.628255
53698,2809,7.6272936
53698,20539,7.623809
53698,4490,7.622043
53698,5278,7.6096067
53698,5760,7.609034
53698,5002,7.607718
53698,17295,7.605334
53698,77,7.59933
53698,4985,7.5968924
53698,1453,7.5962563
53698,3432,7.5922127
53698,282,7.583914
53698,1895,7.582911
53698,31880,7.576274
53698,17137,7.575152
53698,3146,7.5632367
53698,1196,7.55529
53698,21363,7.5548835
53698,5802,7.552841
53698,714,7.538021
53698,4181,7.537872
53698,22841,7.5345254
53698,1537,7.5333295
53698,8677,7.5325747
53698,1915,7.5318575
53698,19519,7.528981
53698,2798,7.5287023
53698,1729,7.523505
53698,729,7.521102
53698,17092,7.520754
53698,1974,7.5172973
53698,3734,7.513008
53698,33791,7.511039
53698,4129,7.505741
53698,1966,7.4985447
53698,1695,7.4942703
53698,2924,7.493839
53698,1530,7.492441
53698,2232,7.4898787
53698,3272,7.488267
53698,15547,7.4850144
53698,2903,7.483189
53698,2442,7.4814568
53698,5420,7.4796124
53698,245,7.4778647
53698,44,7.474995
53698,7616,7.4748244
53698,3822,7.4740806
53698,433,7.472316
53698,10113,7.471822
53698,3750,7.46351
53698,2167,7.4628015
53698,5629,7.4603243
53698,1471,7.4557924
53698,1065,7.455417
53698,6583,7.455266
53698,7967,7.4543967
53698,9013,7.453287
53698,2265,7.4470625
53698,14007,7.4382205
53698,12145,7.4381986
53698,4926,7.433973
53698,2681,7.4335413
53698,3297,7.4329386
53698,2701,7.4291697
53698,19999,7.4291697
53698,2745,7.424492
53698,4062,7.42403
53698,8745,7.4232235
53698,1786,7.4226627
53698,444,7.4145446
53698,13089,7.414386
53698,587,7.4134846
53698,967,7.4121404
53698,4473,7.4059668
53698,25345,7.403309
53698,21829,7.4011655
53698,1381,7.400411
53698,1382,7.3981137
53698,3572,7.397628
53698,1698,7.393858
53698,8373,7.3932123
53698,12485,7.390543
53698,256,7.387776
53698,2004,7.3867216
53698,5941,7.3857946
53698,4282,7.379822
53698,76,7.378825
53698,3109,7.378287
53698,7698,7.3763885
53698,29757,7.375533
53698,3020,7.375492
53698,397,7.375459
53698,5097,7.3751917
53698,3624,7.3745446
53698,1473,7.3742847
53698,22069,7.373115
53698,4789,7.3697963
53698,21097,7.3688498
53698,1689,7.367996
53698,7222,7.366379
53698,2009,7.366205
53698,5693,7.3655534
53698,29893,7.365375
53698,158,7.3631277
53698,2734,7.36288
53698,33309,7.362295
53698,122,7.361559
53698,4208,7.360832
53698,1113,7.360603
53698,856,7.3595343
53698,7748,7.3590918
53698,2698,7.357948
53698,331,7.357613
53698,4399,7.357549
53698,2450,7.3561287
53698,7014,7.350638
53698,8842,7.3478165
53698,1093,7.3478165
53698,5272,7.3442283
53698,7169,7.3435674
53698,2135,7.339
53698,27557,7.3381004
53698,2377,7.337446
53698,569,7.336572
53698,19,7.33533
53698,5485,7.333407
53698,25079,7.3324895
53698,396,7.3289776
53698,3547,7.3280005
53698,1608,7.32631
53698,572,7.3261375
53698,5205,7.324798
53698,2585,7.3246713
53698,24073,7.3232336
53698,30289,7.3232336
53698,2097,7.321478
53698,17357,7.319589
53698,10718,7.317701
53698,2966,7.317305
53698,962,7.313363
53698,2199,7.312448
53698,1038,7.3122
53698,2623,7.3086224
53698,113,7.3077154
53698,6182,7.306571
53698,27413,7.305073
53698,2518,7.3041153
53698,5924,7.3040566
53698,3016,7.3028674
53698,9943,7.3021293
53698,2922,7.300993
53698,5341,7.2991743
53698,4554,7.293499
53698,6041,7.2925587
53698,290,7.2879524
53698,1845,7.2877812
53698,164,7.285213
53698,5296,7.2847614
53698,3468,7.2835684
53698,1409,7.2799377
53698,17739,7.279505
53698,1247,7.2787123
53698,5690,7.278311
53698,3276,7.2778425
53698,2749,7.277449
53698,6468,7.2764955
53698,2978,7.2764187
53698,1021,7.2737727
53698,10061,7.272855
53698,102,7.272686
53698,1887,7.2710605
53698,398,7.270296
53698,2954,7.269989
53698,11268,7.2694793
53698,3783,7.2693524
53698,2583,7.2687335
53698,3159,7.268148
53698,4232,7.26807
53698,855,7.2674003
53698,29575,7.265276
53698,20235,7.263662
53698,12441,7.263662
53698,5936,7.2635474
53698,3014,7.261246
53698,2409,7.2607875
53698,5682,7.259752
53698,29916,7.259134
53698,6505,7.258543
53698,2686,7.258534
53698,6582,7.2583303
53698,1688,7.257211
53698,2459,7.2569027
53698,153,7.2567267
53698,4991,7.255952
53698,3167,7.2558947
53698,2714,7.2539277
53698,4477,7.253641
53698,5104,7.2505836
53698,3559,7.2481313
53698,1478,7.2480984
53698,185,7.247806
53698,4074,7.246835
53698,33605,7.2448816
53698,329,7.241708
53698,2073,7.240411
53698,1787,7.239573
53698,12663,7.2384953
53698,9253,7.238288
53698,11917,7.2380104
53698,57,7.237014
53698,1064,7.2365885
53698,1539,7.23527
53698,24789,7.2338767
53698,978,7.233677
53698,10132,7.233306
53698,1914,7.23291
53698,1372,7.2315874
53698,6229,7.230101
53698,1584,7.2286224
53698,1087,7.22705
53698,6114,7.225436
53698,7229,7.223444
53698,13827,7.222337
53698,18,7.221637
53698,2487,7.2196307
53698,4059,7.2194653
53698,7839,7.2191386
53698,5310,7.2188964
53698,9798,7.21801
53698,529,7.21797
53698,2233,7.2176914
53698,72,7.21763
53698,263,7.2170367
53698,5114,7.216998
53698,13629,7.2166557
53698,7311,7.214934
53698,12029,7.2148356
53698,2198,7.2142105
53698,957,7.2141986
53698,6408,7.2139297
53698,5959,7.213571
53698,7465,7.212353
53698,5643,7.211862
53698,3383,7.2111573
53698,388,7.2089815
53698,2904,7.207543
53698,10280,7.2068825
53698,14629,7.2067757
